Date,Time,Open,High,Low,Close,Vol,OI
03/23/2018,17:00:00,10155.00000,10275.00000,9775.00000,10120.00000,2895,1012
03/26/2018,17:00:00,10155.00000,10155.00000,9345.00000,9415.00000,2433,742
03/27/2018,17:00:00,9385.00000,9775.00000,9265.00000,9400.00000,3738,494
03/28/2018,17:00:00,9405.00000,9575.00000,9230.00000,9385.00000,493,1148
03/29/2018,17:00:00,9380.00000,9495.00000,8555.00000,8820.00000,1684,1295
04/02/2018,17:00:00,8390.00000,8635.00000,8260.00000,8475.00000,3539,1369
04/03/2018,17:00:00,8460.00000,9005.00000,8450.00000,8945.00000,2274,1489
04/04/2018,17:00:00,8915.00000,8925.00000,8210.00000,8345.00000,2951,1500
04/05/2018,17:00:00,8275.00000,8410.00000,8035.00000,8245.00000,2415,1503
04/06/2018,17:00:00,8245.00000,8375.00000,7970.00000,8115.00000,2415,1503
04/09/2018,17:00:00,8510.00000,8710.00000,8090.00000,8160.00000,3348,1527
04/10/2018,17:00:00,8190.00000,8365.00000,8125.00000,8325.00000,1882,1486
04/11/2018,17:00:00,8345.00000,8455.00000,8270.00000,8405.00000,1746,1582
04/12/2018,17:00:00,8405.00000,9590.00000,8145.00000,9165.00000,4825,1662
04/13/2018,17:00:00,9275.00000,9720.00000,9245.00000,9590.00000,3045,1744
04/16/2018,17:00:00,9490.00000,9930.00000,9365.00000,9465.00000,3858,1676
04/17/2018,17:00:00,9500.00000,9665.00000,9290.00000,9370.00000,2676,1573
04/18/2018,17:00:00,9355.00000,9725.00000,9345.00000,9610.00000,2826,1574
04/19/2018,17:00:00,9675.00000,9800.00000,9585.00000,9745.00000,2318,1512
04/20/2018,17:00:00,9785.00000,10070.00000,9720.00000,10025.00000,2318,1511
04/23/2018,17:00:00,10395.00000,10500.00000,10260.00000,10330.00000,2952,1117
04/24/2018,17:00:00,10450.00000,10950.00000,10405.00000,10940.00000,4681,944
04/25/2018,17:00:00,10965.00000,11250.00000,10240.00000,10455.00000,10346,588
04/26/2018,17:00:00,10645.00000,10720.00000,10125.00000,10350.00000,447,1482
04/27/2018,17:00:00,10590.00000,10875.00000,10395.00000,10535.00000,2190,1588
04/30/2018,17:00:00,10830.00000,10950.00000,10595.00000,10820.00000,2999,1723
05/01/2018,17:00:00,10740.00000,10770.00000,10270.00000,10440.00000,3143,1654
05/02/2018,17:00:00,10525.00000,10665.00000,10440.00000,10605.00000,2093,1709
05/03/2018,17:00:00,10700.00000,11260.00000,10635.00000,11130.00000,3762,2063
05/04/2018,17:00:00,11165.00000,11295.00000,10995.00000,11125.00000,3762,2060
05/07/2018,17:00:00,11060.00000,11160.00000,10615.00000,10890.00000,4705,2043
05/08/2018,17:00:00,10865.00000,10945.00000,10465.00000,10690.00000,4435,1995
05/09/2018,17:00:00,10640.00000,10830.00000,10410.00000,10735.00000,3015,1964
